prefix,paramfile,duplication rate,loss rate,p,qratio,r,outgroup,q1,q2,q3,sco,lsd,lsdonly,replicate, lsdtrue, lsdonlytrue, max age, min age
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,False,True,True,0,True, True, 0.32978719, 0.32978719
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,False,True,True,1,True, True, 0.20741746, 0.20741746
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,1.000000,0.000000,0.000000,False,True,True,2,True, True, 0.31356615, 0.0884774
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,1.000000,0.000000,0.000000,False,True,False,3,False, False, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,True,False,True,4,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,True,False,True,5,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,True,False,True,6,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,1.000000,0.000000,0.000000,False,True,True,7,True, True, 0.460854, 0.08023522
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,False,True,False,8,True, False, 0.48714189, 0.48714189
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,False,False,True,9,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,False,True,True,10,True, True, 0.30894361, 0.30894361
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,False,False,True,11,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,False,False,True,12,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,True,False,True,13,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.250000,0.500000,0.250000,False,False,False,14,False, False, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,1.000000,0.000000,0.000000,False,True,True,15,True, True, 0.49044679, 0.03753857
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,True,False,True,16,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,True,False,True,17,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,False,True,True,18,True, True, 0.2946709, 0.14098983
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,True,False,True,19,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,False,False,True,20,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,1.000000,0.000000,0.000000,False,True,True,21,True, True, 0.43724592, 0.43724592
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,False,True,True,22,True, True, 0.46007063000000004, 0.26804453
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,False,True,True,23,True, True, 0.05388694, 0.0449822
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,True,False,True,24,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,False,True,True,25,True, True, 0.10826516, 0.05210973
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,False,True,True,26,True, True, 0.33665481, 0.25930237
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,True,False,True,27,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,True,False,True,28,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,1.000000,0.000000,0.000000,False,True,False,29,True, True, 0.41923446, 0.41923446
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.500000,0.000000,0.500000,False,True,False,30,True, False, 0.39498712, 0.39498712
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,True,False,True,31,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,False,True,True,32,True, True, 0.07534229, 0.07534229
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,False,False,True,33,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,False,False,False,34,False, False, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,True,False,True,35,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,1.000000,0.000000,True,False,True,36,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,0.000000,0.000000,1.000000,True,False,True,37,False, True, NA, NA
varyqr_ml_complexsubstitution,config_files/config_varyqr_ml_complexsubstitution.txt,1e-06,0.0,250000.0,20.0,100000.0,None,1.000000,0.000000,0.000000,False,True,True,38,False, False, NA, NA
